,值
回測期間,2017-10-16 ~ 2023-10-15
初始資金,"$10,000"
最終資金,"$14,053"
總報酬率,40.53%
年化報酬率,5.84%
Sharpe Ratio,0.60
最大回撤,19.99%
總交易次數,703
勝率,54.62%
平均持有天數,30.9
