symbol,buy_date,buy_price,sell_date,sell_price,shares,return_pct,profit,holding_days,sell_reason
BLDR,2022-01-03,83.48999786376953,2022-01-19,72.62999725341797,11,-0.13007546877737144,-119.46000671386719,16,stop_loss_dip
AAPL,2022-01-03,178.2703399658203,2022-01-21,159.07302856445312,5,-0.10768651366821805,-95.98655700683594,18,stop_loss_dip
ALL,2022-01-03,107.35946655273438,2022-01-31,109.5380630493164,9,0.020292542116087327,19.60736846923828,28,stop_loss_sideways
MO,2022-01-03,35.54840087890625,2022-01-31,37.70487594604492,28,0.06066306820620681,60.38130187988281,28,stop_loss_sideways
AIG,2022-01-03,52.47916793823242,2022-01-31,52.80835723876953,19,0.00627276143029864,6.254596710205078,28,stop_loss_sideways
AIZ,2022-01-03,145.85247802734375,2022-01-31,142.34310913085938,6,-0.024061085172830968,-21.05621337890625,28,stop_loss_sideways
AVB,2022-01-03,222.00177001953125,2022-01-31,214.62869262695312,4,-0.03321179552725844,-29.4923095703125,28,stop_loss_sideways
CHRW,2022-01-03,97.94383239746094,2022-01-31,94.99370574951172,10,-0.030120596424871943,-29.501266479492188,28,stop_loss_sideways
CAH,2022-01-03,47.876224517822266,2022-01-31,47.4712028503418,20,-0.008459766231769101,-8.100433349609375,28,stop_loss_sideways
AMCR,2022-01-19,10.51418113708496,2022-02-15,10.005842208862305,12,-0.04834793329075084,-6.100067138671854,27,stop_loss_sideways
FIS,2022-01-31,108.6295928955078,2022-02-15,93.1667251586914,7,-0.14234489262691358,-108.24007415771474,15,stop_loss_dip
AEP,2022-01-21,77.60733795166016,2022-02-17,74.38618469238281,2,-0.04150578211152825,-6.4423065185546875,27,stop_loss_sideways
BX,2022-01-31,115.19371032714844,2022-02-28,112.48210906982422,7,-0.023539490564400706,-18.98120880126953,28,stop_loss_sideways
CNP,2022-01-31,25.586299896240234,2022-02-28,24.83206367492676,33,-0.02947812791892992,-24.88979530334461,28,stop_loss_sideways
ED,2022-01-31,75.2613525390625,2022-02-28,75.38672637939453,11,0.001665846229204546,1.3791122436523438,28,stop_loss_sideways
XOM,2022-01-31,65.90042114257812,2022-02-28,68.78887176513672,12,0.04383053359111801,34.661407470703125,28,stop_loss_sideways
FICO,2022-01-31,494.989990234375,2022-02-28,471.1900024414063,1,-0.04808175571732174,-23.799987792968693,28,stop_loss_sideways
