,0
2017-10-16,9990.478228004456
2017-10-17,9995.225164802552
2017-10-18,9971.184114845277
2017-10-19,9979.215174110413
2017-10-20,10033.515531929017
2017-10-23,10013.206758888246
2017-10-24,10029.57745590973
2017-10-25,10048.830278785706
2017-10-26,10090.405096443179
2017-10-27,10413.951376350406
2017-10-30,10358.36096802521
2017-10-31,10453.913233192447
2017-11-01,10425.029070289613
2017-11-02,10402.553877265931
2017-11-03,10454.181665809632
2017-11-06,10477.873266609195
2017-11-07,10503.664595039369
2017-11-08,10545.140001686099
2017-11-09,10465.06310120392
2017-11-10,10426.606924165728
2017-11-13,10493.948413957598
2017-11-14,10551.130319704058
2017-11-15,10485.322651018145
2017-11-16,10608.868801225664
2017-11-17,10652.936611284258
2017-11-20,10708.906276811602
2017-11-21,10790.433834184649
2017-11-22,10793.1463738575
2017-11-24,10842.845750917437
2017-11-27,10735.56536113167
2017-11-28,10832.326610673907
2017-11-29,10715.656253923418
2017-11-30,10782.646558870318
2017-12-01,10703.998106111529
2017-12-04,10562.403690446856
2017-12-05,10564.908598054888
2017-12-06,10659.342517961504
2017-12-07,10759.887010683062
2017-12-08,10754.091097883227
2017-12-11,10716.906239561084
2017-12-12,10711.24436574364
2017-12-13,10676.042709402087
2017-12-14,10679.114028982165
2017-12-15,10739.314103178027
2017-12-18,10829.069850900652
2017-12-19,10790.22507058907
2017-12-20,10779.568056695942
2017-12-21,10804.55110990334
2017-12-22,10804.614920938495
2017-12-26,10837.268444383624
2017-12-27,10850.450108850482
2017-12-28,10862.442295396808
2017-12-29,10837.233953798297
2018-01-02,10874.463815057758
2018-01-03,10891.399718606952
2018-01-04,10898.555389726642
2018-01-05,10965.97960408974
2018-01-08,10976.771920840267
2018-01-09,10981.357692400936
2018-01-10,10937.542092959407
2018-01-11,10982.976718585018
2018-01-12,10995.90942306805
2018-01-16,10941.979069903377
2018-01-17,11029.304454970363
2018-01-18,10976.18960155392
2018-01-19,11008.57424129391
2018-01-22,11011.882114066128
2018-01-23,11037.438279898648
2018-01-24,11010.742723258023
2018-01-25,11068.829269202235
2018-01-26,11236.520177634244
2018-01-29,11139.386073746686
2018-01-30,11016.217667260174
2018-01-31,11034.185075440411
2018-02-01,11002.053054490094
2018-02-02,10872.449190773968
2018-02-05,10590.72708685017
2018-02-06,10619.724850627903
2018-02-07,10611.092776271824
2018-02-08,10427.463521312719
2018-02-09,10518.54036667252
2018-02-12,10568.796538642888
2018-02-13,10627.186542068484
2018-02-14,10755.284737518314
2018-02-15,10804.866475036626
2018-02-16,10725.716000892644
2018-02-20,10700.907897819523
2018-02-21,10642.943283905033
2018-02-22,10603.120845664982
2018-02-23,10714.580807556156
2018-02-26,10758.77739797974
2018-02-27,10639.390565742497
2018-02-28,10631.155385841374
2018-03-01,10566.553462852482
2018-03-02,10626.2395065918
2018-03-05,10684.701810356144
2018-03-06,10690.465741554264
2018-03-07,10715.944909492497
2018-03-08,10792.476500488287
2018-03-09,10860.071001983648
2018-03-12,10869.323977447515
2018-03-13,10833.308748222356
2018-03-14,10845.538634277349
2018-03-15,10815.794801689153
