,值
回測期間,2017-10-16 ~ 2023-10-15
初始資金,"$10,000"
最終資金,"$15,270"
總報酬率,52.70%
年化報酬率,7.31%
Sharpe Ratio,0.72
最大回撤,17.55%
總交易次數,687
勝率,55.75%
平均持有天數,31.6
