,0
2017-10-16,9990.486254653932
2017-10-17,9985.13115211487
2017-10-18,9975.121066055299
2017-10-19,10023.537672958375
2017-10-20,10056.12205406189
2017-10-23,10042.129572830201
2017-10-24,10081.790926895143
2017-10-25,10064.102000198365
2017-10-26,10136.203181228639
2017-10-27,10383.372405014039
2017-10-30,10332.803866348268
2017-10-31,10364.57933708191
2017-11-01,10359.7529019928
2017-11-02,10329.405001602174
2017-11-03,10354.34533973694
2017-11-06,10427.509783706666
2017-11-07,10438.138030014039
2017-11-08,10477.767294845582
2017-11-09,10441.42540260315
2017-11-10,10406.031135149004
2017-11-13,10487.32209927559
2017-11-14,10528.064824647905
2017-11-15,10470.030271120073
2017-11-16,10608.43782383919
2017-11-17,10657.882794923784
2017-11-20,10741.519349641803
2017-11-21,10826.846240587236
2017-11-22,10821.47092778206
2017-11-24,10883.36779171944
2017-11-27,10752.734649248125
2017-11-28,10855.883172578813
2017-11-29,10688.009536333087
2017-11-30,10748.081338472368
2017-12-01,10650.03380543709
2017-12-04,10428.449649400713
2017-12-05,10453.991448946002
2017-12-06,10557.040650911335
2017-12-07,10679.080236024858
2017-12-08,10685.801327583315
2017-12-11,10668.669926521303
2017-12-12,10639.322583076479
2017-12-13,10607.700934288026
2017-12-14,10620.444311973573
2017-12-15,10685.899142143251
2017-12-18,10837.242617485048
2017-12-19,10818.02202653885
2017-12-20,10790.474115848543
2017-12-21,10761.616920375825
2017-12-22,10765.89466921425
2017-12-26,10780.959967294695
2017-12-27,10798.382215173722
2017-12-28,10809.492761285783
2017-12-29,10788.11143270302
2018-01-02,10807.528220804215
2018-01-03,10850.92899480629
2018-01-04,10852.178670557023
2018-01-05,10891.53417173195
2018-01-08,10898.067397218707
2018-01-09,10902.022450548175
2018-01-10,10864.159350496295
2018-01-11,10879.826106172564
2018-01-12,10923.655676942828
2018-01-16,10899.87702749634
2018-01-17,10987.285205490116
2018-01-18,10994.657179779057
2018-01-19,11021.925244277958
2018-01-22,11037.924135330202
2018-01-23,11049.186875091556
2018-01-24,11030.620613800053
2018-01-25,11038.978518585209
2018-01-26,11226.626624206547
2018-01-29,11192.41759405518
2018-01-30,11072.765261749271
2018-01-31,11089.861350158695
2018-02-01,11073.844222167972
2018-02-02,10954.669062713627
2018-02-05,10686.11775759888
2018-02-06,10751.767160217289
2018-02-07,10765.419450561527
2018-02-08,10585.22207619858
2018-02-09,10667.501657268527
2018-02-12,10726.01032627869
2018-02-13,10761.199003112797
2018-02-14,10864.120080841069
2018-02-15,10929.042981994633
2018-02-16,10972.944902313237
2018-02-20,10913.453788833622
2018-02-21,10864.79237945557
2018-02-22,10847.948780136112
2018-02-23,10956.53113763428
2018-02-26,10990.67042367554
2018-02-27,10872.61972444153
2018-02-28,10841.222589340214
2018-03-01,10786.015874710087
2018-03-02,10829.251437988285
2018-03-05,10861.349751026155
2018-03-06,10878.071087390901
2018-03-07,10879.42327931595
2018-03-08,10942.022913772586
2018-03-09,11036.625445205691
2018-03-12,11016.461558181765
2018-03-13,10983.201954681399
2018-03-14,10969.811331588748
2018-03-15,10941.964546997073
2018-03-16,10951.02591975403
2018-03-19,10867.65092166138
2018-03-20,10912.915697830202
2018-03-21,10900.057221191408
2018-03-22,10765.17542340088
2018-03-23,10645.063912170412
2018-03-26,10816.734402435304
2018-03-27,10699.672248134615
2018-03-28,10689.374175319674
2018-03-29,10748.885329494478
2018-04-02,10618.648472429279
2018-04-03,10695.720211626056
2018-04-04,10750.661106706622
2018-04-05,10795.71010453606
2018-04-06,10729.6072297802
2018-04-09,10710.69817597771
2018-04-10,10797.830461154941
2018-04-11,10803.130698810579
2018-04-12,10827.09697688675
2018-04-13,10853.401927600862
2018-04-16,10917.227437625887
2018-04-17,10965.941355716706
2018-04-18,10988.295248996736
2018-04-19,10970.66166211319
2018-04-20,10933.946879898074
2018-04-23,10979.158778701785
2018-04-24,10947.512154319766
2018-04-25,10980.540768363955
2018-04-26,11037.17912743378
2018-04-27,11041.243281419756
2018-04-30,11021.38666444588
2018-05-01,11034.543633516314
2018-05-02,11003.168534189226
2018-05-03,10971.498721033098
2018-05-04,11042.230585962297
2018-05-07,11037.284978677751
2018-05-08,11035.298423578264
2018-05-09,11096.660072137835
2018-05-10,11133.236099054338
2018-05-11,11117.888179590227
2018-05-14,11147.883729539873
2018-05-15,11143.430862031939
2018-05-16,11203.240897737505
2018-05-17,11235.308095705035
2018-05-18,11232.198762666705
2018-05-21,11251.183653371812
2018-05-22,11206.153618352891
2018-05-23,11204.401182668687
2018-05-24,11164.441231710436
2018-05-25,11117.04839609337
2018-05-29,11074.800604803087
2018-05-30,11182.133879255296
2018-05-31,11137.275013517381
2018-06-01,11201.438637327195
2018-06-04,11215.400009504321
2018-06-05,11251.43568455315
2018-06-06,11363.39921604729
2018-06-07,11318.831079240801
2018-06-08,11379.002967592241
2018-06-11,11392.131417966846
2018-06-12,11429.738485075
2018-06-13,11451.322402692798
2018-06-14,11442.644202592854
2018-06-15,11423.653087022785
2018-06-18,11478.548404855732
2018-06-19,11403.915195627216
2018-06-20,11380.030113382343
2018-06-21,11272.911771463398
2018-06-22,11251.677690195087
2018-06-25,11122.379270242694
2018-06-26,11170.611488630298
2018-06-27,11064.334919652942
2018-06-28,11136.967403135302
2018-06-29,11104.480668050772
2018-07-02,11104.022053701407
2018-07-03,11056.26510809136
2018-07-05,11109.501757223134
2018-07-06,11146.163983900075
2018-07-09,11092.679698938373
2018-07-10,11122.994010919574
2018-07-11,11150.975131982806
2018-07-12,11217.701372728352
2018-07-13,11217.02912388802
2018-07-16,11200.428041673666
2018-07-17,11226.286737657552
2018-07-18,11232.968134141925
2018-07-19,11217.022539976126
2018-07-20,11200.032404783255
2018-07-23,11199.717139127737
2018-07-24,11199.810857965474
2018-07-25,11261.776161877639
2018-07-26,11248.341206280715
2018-07-27,11182.488269078262
2018-07-30,11122.808970677383
2018-07-31,11150.298445927627
2018-08-01,11132.957679813393
2018-08-02,11157.7521038704
2018-08-03,11162.075363834389
2018-08-06,11212.554746349342
2018-08-07,11223.304389675148
2018-08-08,11236.75136105729
2018-08-09,11202.672827884682
2018-08-10,11156.734960437781
2018-08-13,11142.979969860084
2018-08-14,11190.222006679542
2018-08-15,11142.815053890236
2018-08-16,11179.644369075782
2018-08-17,11204.714633892067
2018-08-20,11229.832184970863
2018-08-21,11265.075769847877
2018-08-22,11253.528365558632
2018-08-23,11279.325897243507
2018-08-24,11376.806900051124
2018-08-27,11455.225225475318
2018-08-28,11435.865870073325
2018-08-29,11452.137899950034
2018-08-30,11415.653387056358
2018-08-31,11419.204530702598
2018-09-04,11521.801355348594
2018-09-05,11555.431907274253
2018-09-06,11528.837993242272
2018-09-07,11510.35202903939
