,值
回測期間,2017-10-16 ~ 2023-10-15
初始資金,"$10,000"
最終資金,"$13,579"
總報酬率,35.79%
年化報酬率,5.23%
Sharpe Ratio,0.46
最大回撤,23.16%
總交易次數,695
勝率,49.35%
平均持有天數,31.3
