,0
2022-01-03,9990.5636423378
2022-01-04,10142.16957266617
2022-01-05,10039.534871891023
2022-01-06,10071.917978122712
2022-01-07,10121.098665073396
2022-01-10,10056.370725467683
2022-01-11,10121.668107822421
2022-01-12,10102.061342075349
2022-01-13,10129.869726017
2022-01-14,10132.820943668366
2022-01-18,10034.036184146882
2022-01-19,9875.793327350617
2022-01-20,9774.077381153107
2022-01-21,9697.892308078768
2022-01-24,9743.552582584383
2022-01-25,9731.494961582184
2022-01-26,9736.09773334122
2022-01-27,9767.36047061539
2022-01-28,9864.12306674576
2022-01-31,9857.354633056642
2022-02-01,9935.442594253542
2022-02-02,9994.603528701784
2022-02-03,9907.867894851686
2022-02-04,9890.423097335817
2022-02-07,9921.557687484743
2022-02-08,9892.571834289552
2022-02-09,9968.541246139528
2022-02-10,9871.422162734987
2022-02-11,9811.839744293215
2022-02-14,9740.223436080934
2022-02-15,9701.672343170168
2022-02-16,9709.899611389163
2022-02-17,9663.405905380252
2022-02-18,9655.157463684085
2022-02-22,9627.369728698734
2022-02-23,9531.993330612186
2022-02-24,9529.634213104251
2022-02-25,9737.21843589783
2022-02-28,9696.947731016164
2022-03-01,9680.588317869191
2022-03-02,9807.890907285695
2022-03-03,9772.789115415577
2022-03-04,9827.494071470264
2022-03-07,9731.746669095995
2022-03-08,9649.475024503712
2022-03-09,9683.406169218066
2022-03-10,9740.452861112597
2022-03-11,9705.613772672657
2022-03-14,9639.395663541796
2022-03-15,9712.36357052422
2022-03-16,9737.41807491875
2022-03-17,9830.3129651928
2022-03-18,9853.744773664477
2022-03-21,9892.38794688225
2022-03-22,9884.161113538745
2022-03-23,9849.614059247975
2022-03-24,9874.60435465813
2022-03-25,9929.11702651787
2022-03-28,9900.36532516289
2022-03-29,9912.581084440233
2022-03-30,9945.897320035938
2022-03-31,9919.426418546678
2022-04-01,9979.69091713524
2022-04-04,9966.214198232652
2022-04-05,9937.427470327379
2022-04-06,9966.217234731675
2022-04-07,10002.043147207261
2022-04-08,10027.701975942613
2022-04-11,9942.951708913804
2022-04-12,9954.66520607567
2022-04-13,9964.185481191636
2022-04-14,9983.46672737694
2022-04-18,9990.856246114732
2022-04-19,10009.707537771226
2022-04-20,10059.874625326158
2022-04-21,9943.875369192125
2022-04-22,9802.553400548935
2022-04-25,9767.685709188463
2022-04-26,9679.700037191393
2022-04-27,9720.16589104271
2022-04-28,9759.045461050035
2022-04-29,9588.26959732628
2022-05-02,9585.051789556503
2022-05-03,9639.911898635864
2022-05-04,9793.526803039551
2022-05-05,9690.009646438599
2022-05-06,9743.245215438843
