,值
回測期間,2017-10-16 ~ 2023-10-15
初始資金,"$10,000"
最終資金,"$16,261"
總報酬率,62.61%
年化報酬率,8.45%
Sharpe Ratio,0.71
最大回撤,21.52%
總交易次數,691
勝率,53.11%
平均持有天數,31.4
