symbol,buy_date,buy_price,sell_date,sell_price,shares,return_pct,profit,holding_days,sell_reason
ARE,2017-10-16,93.06382751464844,2017-11-10,95.43000793457033,10,0.02542535035483521,23.661804199218892,25,stop_loss_sideways
AEE,2017-10-16,47.91658020019531,2017-11-10,49.370513916015625,20,0.03034301925859029,29.07867431640625,25,stop_loss_sideways
AIG,2017-10-16,51.71307373046875,2017-11-10,50.16118621826172,19,-0.03000957785444258,-29.485862731933594,25,stop_loss_sideways
AMP,2017-10-16,130.590087890625,2017-11-10,134.5463409423828,7,0.03029520169303623,27.693771362304688,25,stop_loss_sideways
AME,2017-10-16,64.12921905517578,2017-11-10,64.56450653076172,15,0.006787662192041087,6.5293121337890625,25,stop_loss_sideways
AON,2017-10-16,139.52847290039062,2017-11-10,133.6294708251953,7,-0.042278123974069506,-41.29301452636719,25,stop_loss_sideways
AMAT,2017-10-16,50.17544937133789,2017-11-10,51.37877655029297,19,0.023982389675267442,22.863216400146484,25,stop_loss_sideways
ADSK,2017-10-16,119.1999969482422,2017-11-10,123.11000061035156,8,0.03280204498501055,31.280029296874886,25,stop_loss_sideways
AVB,2017-11-10,142.5547332763672,2017-12-08,138.79208374023438,5,-0.026394420231829557,-18.813247680664062,28,stop_loss_sideways
CMCSA,2017-11-10,30.08042335510254,2017-12-08,30.978347778320312,27,0.029850790749108874,24.243959426879883,28,stop_loss_sideways
CAG,2017-11-10,25.621000289916992,2017-12-08,27.424781799316406,31,0.07040246239368268,55.917226791381836,28,stop_loss_sideways
CTRA,2017-11-10,21.295135498046875,2017-12-08,20.38426971435547,38,-0.04277342042622589,-34.61289978027344,28,stop_loss_sideways
ALGN,2017-10-16,193.3699951171875,2017-12-18,235.47000122070312,5,0.21771736653353005,210.50003051757812,63,agent
XYZ,2017-11-10,39.209999084472656,2017-12-22,35.13999938964844,20,-0.10380004564794693,-81.39999389648438,42,stop_loss_dip
ANET,2017-11-10,13.815625190734863,2017-12-27,14.96875,58,0.08346526439052891,66.88123893737793,47,stop_loss_sideways
ACN,2017-12-08,133.76644897460938,2018-01-08,141.23094177246094,3,0.055802429197088284,22.393478393554688,31,stop_loss_sideways
AMP,2017-12-08,145.36343383789062,2018-01-08,147.1947784423828,3,0.012598385688484107,5.4940338134765625,31,stop_loss_sideways
BBY,2017-12-08,47.548805236816406,2018-01-08,51.94663238525391,10,0.09249080237735034,43.97827148437507,31,stop_loss_sideways
BIIB,2017-12-08,325.7699890136719,2018-01-08,329.6499938964844,1,0.011910258813465056,3.8800048828125,31,stop_loss_sideways
BLDR,2017-11-10,18.459999084472656,2018-01-10,22.1299991607666,44,0.19880824801236904,161.4800033569336,61,agent
AMZN,2017-10-16,50.31700134277344,2018-01-11,63.83399963378906,19,0.26863680128579337,256.8229675292969,87,agent
ABBV,2017-12-18,69.74535369873047,2018-01-17,74.65972137451172,6,0.0704615779426566,29.4862060546875,30,stop_loss_sideways
ALB,2018-01-08,123.0981674194336,2018-01-18,105.5984115600586,5,-0.14216097791080765,-87.498779296875,10,stop_loss_dip
ABT,2017-12-22,49.464298248291016,2018-01-23,51.70878601074219,9,0.04537591438545716,20.200389862060547,32,stop_loss_sideways
ADI,2017-12-27,76.82778930664062,2018-01-25,79.31111907958984,6,0.032323327214812514,14.899978637695312,29,stop_loss_sideways
COST,2017-11-10,153.07850646972656,2018-01-26,178.21661376953125,5,0.1642170927815794,125.69053649902344,77,agent
AOS,2018-01-08,54.85456085205078,2018-02-05,53.49925994873047,11,-0.024707168962225745,-14.908309936523438,28,stop_loss_sideways
AFL,2018-01-08,37.295509338378906,2018-02-05,35.740840911865234,17,-0.04168513727506174,-26.429363250732422,28,stop_loss_sideways
A,2018-01-08,66.09314727783203,2018-02-05,64.36648559570312,9,-0.0261246703061459,-15.539955139160156,28,stop_loss_sideways
ALGN,2018-01-23,272.1600036621094,2018-02-05,242.3999938964844,2,-0.1093474770913527,-59.52001953124994,13,stop_loss_dip
APD,2018-01-25,144.27552795410156,2018-02-05,129.62411499023438,3,-0.10155161565950567,-43.95423889160156,11,stop_loss_dip
GOOGL,2018-01-26,58.93272018432617,2018-02-05,52.721153259277344,10,-0.10540098786583527,-62.11566925048828,10,stop_loss_dip
MMM,2018-01-10,152.36265563964844,2018-02-07,147.3395233154297,3,-0.032968264455162266,-15.06939697265625,28,stop_loss_sideways
ADBE,2018-01-11,188.9199981689453,2018-02-08,185.16000366210935,3,-0.01990257539317526,-11.279983520507898,28,stop_loss_sideways
AMD,2018-01-18,12.470000267028809,2018-02-08,11.220000267028809,45,-0.10024057523920438,-56.25,21,stop_loss_dip
ANET,2018-02-07,17.60124969482422,2018-02-16,15.593125343322754,27,-0.11408987352142212,-54.21935749053955,9,stop_loss_dip
BG,2018-02-05,63.37800598144531,2018-03-05,61.48262405395508,13,-0.029905988649203175,-24.639965057373047,28,stop_loss_sideways
NCLH,2018-02-05,56.95000076293945,2018-03-05,55.58000183105469,14,-0.02405617056244713,-19.17998504638672,28,stop_loss_sideways
EG,2018-02-06,205.5680389404297,2018-03-06,217.18035888671875,2,0.05648893673424654,23.224639892578125,28,stop_loss_sideways
SWKS,2018-02-06,87.31827545166016,2018-03-06,93.68790435791016,5,0.07294725958915965,31.84814453125,28,stop_loss_sideways
ARES,2018-03-05,19.081586837768555,2018-03-07,16.852251052856445,30,-0.11683178154237896,-66.88007354736328,2,stop_loss_dip
OMC,2018-02-08,57.65168380737305,2018-03-08,56.28464889526367,9,-0.023711968529435138,-12.303314208984375,28,stop_loss_sideways
ADM,2018-02-16,34.30998611450195,2018-03-16,34.60432434082031,13,0.008578791764475537,3.826396942138672,28,stop_loss_sideways
ABBV,2018-01-17,74.65972137451172,2018-03-27,65.82444763183594,7,-0.11834056677436354,-61.84691619873047,69,stop_loss_dip
ARE,2018-03-05,94.83704376220705,2018-04-02,93.09590911865234,6,-0.018359225198124017,-10.44680786132821,28,stop_loss_sideways
AMZN,2018-03-06,76.88200378417969,2018-04-02,68.59950256347656,7,-0.10773003840994383,-57.977508544921875,27,stop_loss_dip
AKAM,2018-03-06,69.94000244140625,2018-04-03,70.12000274658203,8,0.0025736388174504342,1.44000244140625,28,stop_loss_sideways
ABT,2018-03-07,53.5072135925293,2018-04-04,51.90958404541016,9,-0.029858208638660923,-14.378665924072202,28,stop_loss_sideways
ADBE,2018-03-08,216.3999938964844,2018-04-05,223.5399932861328,2,0.032994452823616294,14.279998779296818,28,stop_loss_sideways
BMY,2018-02-05,46.126991271972656,2018-04-10,46.612213134765625,18,0.010519261053295616,8.733993530273438,64,stop_loss_sideways
NOW,2018-02-05,29.47800064086914,2018-04-13,33.380001068115234,28,0.13236991459441957,109.25601196289062,67,agent
LNT,2018-03-16,31.46006393432617,2018-04-13,32.22834014892578,16,0.024420681922433872,12.292419433593807,28,stop_loss_sideways
TKO,2018-02-08,30.770057678222656,2018-04-24,35.05625915527344,17,0.13929780443942155,72.86542510986328,75,agent
AEE,2018-03-27,44.85283660888672,2018-04-24,45.91236877441406,11,0.02362241154927129,11.654853820800781,28,stop_loss_sideways
AES,2018-04-02,8.597390174865723,2018-04-27,9.308167457580566,65,0.08267361004421844,46.200523376464844,25,stop_loss_sideways
ATO,2018-04-02,68.82642364501953,2018-04-27,72.61458587646484,8,0.05503935888029298,30.3052978515625,25,stop_loss_sideways
EQR,2018-04-03,47.38899993896485,2018-04-30,46.90256118774414,10,-0.010264803052337547,-4.864387512207102,27,stop_loss_sideways
AVB,2018-04-04,128.64378356933594,2018-05-01,127.50471496582033,3,-0.008854439537699698,-3.4172058105468324,27,stop_loss_sideways
ADM,2018-04-13,35.956668853759766,2018-05-10,34.92252349853516,17,-0.028760877695055673,-17.58047103881824,27,stop_loss_sideways
ARES,2018-04-13,16.204750061035156,2018-05-10,16.73605728149414,39,0.0327871283702505,20.72098159790039,27,stop_loss_sideways
LNT,2018-04-24,33.00444793701172,2018-05-21,31.826414108276367,18,-0.03569318386975004,-21.204608917236328,27,stop_loss_sideways
AJG,2018-04-24,62.50571441650391,2018-05-21,61.20273971557617,9,-0.020845689279630184,-11.726772308349673,27,stop_loss_sideways
ABBV,2018-04-27,71.36359405517578,2018-05-24,74.55119323730469,8,0.04466702138998729,25.50079345703125,27,stop_loss_sideways
AFL,2018-04-30,38.005165100097656,2018-05-25,38.02946472167969,14,0.0006393768193883945,0.3401947021484375,25,stop_loss_sideways
AKAM,2018-05-01,70.83999633789062,2018-05-29,75.81999969482422,7,0.07029931697314203,34.860023498535156,28,stop_loss_sideways
APA,2018-04-05,31.669368743896484,2018-06-06,32.541263580322266,16,0.027531171949671973,13.9503173828125,62,agent
ACN,2018-05-10,140.3346405029297,2018-06-07,143.98329162597656,4,0.025999647057710632,14.5946044921875,28,stop_loss_sideways
ABT,2018-05-21,54.48409271240234,2018-06-18,55.10690689086914,11,0.011431119570153572,6.850955963134844,28,stop_loss_sideways
APD,2018-05-21,141.47837829589844,2018-06-18,136.38502502441406,4,-0.036000930550898425,-20.3734130859375,28,stop_loss_sideways
BKR,2018-04-10,24.805212020874023,2018-06-20,26.689722061157227,21,0.07597234156665764,39.574710845947266,71,agent
ADBE,2018-05-24,245.1499938964844,2018-06-21,248.8300018310547,2,0.015011250361785376,7.360015869140568,28,stop_loss_sideways
AES,2018-05-25,9.483938217163086,2018-06-22,9.827836990356444,59,0.03626117814337971,20.290027618408097,28,stop_loss_sideways
