,0
2017-10-16,9990.408584712983
2017-10-17,9973.052085994721
2017-10-18,9981.90332806015
2017-10-19,10021.533470272065
2017-10-20,10106.767185329438
2017-10-23,10085.086746334076
2017-10-24,10145.866718410492
2017-10-25,10102.46516048813
2017-10-26,10153.765594600678
2017-10-27,10437.79795849228
2017-10-30,10403.706108211518
2017-10-31,10433.607845424653
2017-11-01,10413.318084835053
2017-11-02,10373.811779140473
2017-11-03,10403.753006099701
2017-11-06,10438.596012233735
2017-11-07,10418.327015041352
2017-11-08,10450.691772579194
2017-11-09,10370.60101330185
2017-11-10,10361.925875417712
2017-11-13,10456.866062871934
2017-11-14,10474.637661687852
2017-11-15,10417.913435689927
2017-11-16,10546.745186559678
2017-11-17,10562.37321161461
2017-11-20,10621.64597772789
2017-11-21,10725.369852773667
2017-11-22,10713.66878771019
2017-11-24,10758.67461847496
2017-11-27,10624.563538305283
2017-11-28,10705.250591985703
2017-11-29,10572.50808786583
2017-11-30,10655.911249868393
2017-12-01,10596.009154073716
2017-12-04,10400.773216955185
2017-12-05,10403.468903295518
2017-12-06,10480.200369588852
2017-12-07,10569.682945959092
2017-12-08,10581.411637393952
2017-12-11,10558.739913074494
2017-12-12,10534.966670124055
2017-12-13,10519.666522113801
2017-12-14,10530.143653003694
2017-12-15,10618.335322467805
2017-12-18,10767.042798130036
2017-12-19,10732.668696491242
2017-12-20,10681.243300983431
2017-12-21,10678.517264949802
2017-12-22,10664.177579891208
2017-12-26,10669.700668346408
2017-12-27,10684.065418147089
2017-12-28,10705.298526667597
2017-12-29,10697.216413401606
2018-01-02,10721.966339015009
2018-01-03,10749.874172114374
2018-01-04,10738.6611765852
2018-01-05,10762.743725680353
2018-01-08,10808.588201518061
2018-01-09,10825.860216135981
2018-01-10,10829.90175723553
2018-01-11,10865.959427828791
2018-01-12,10832.228226656918
2018-01-16,10808.965663969997
2018-01-17,10877.66317755032
2018-01-18,10804.91754662228
2018-01-19,10838.343250899317
2018-01-22,10868.955489764216
2018-01-23,10930.53477979565
2018-01-24,10912.476138361935
2018-01-25,10936.38749814892
2018-01-26,11113.644158671383
2018-01-29,11089.377774546627
2018-01-30,10983.189553568844
2018-01-31,10991.938029597286
2018-02-01,11017.405541728023
2018-02-02,10858.155999491695
2018-02-05,10591.23846498013
2018-02-06,10656.794556288723
2018-02-07,10683.863371520047
2018-02-08,10511.205842667585
2018-02-09,10572.018090897565
2018-02-12,10648.312054345137
2018-02-13,10668.76767892552
2018-02-14,10828.091809937483
2018-02-15,10906.356858918196
2018-02-16,10815.579173361784
2018-02-20,10774.750553893095
2018-02-21,10735.231003569608
2018-02-22,10714.153034972196
2018-02-23,10827.514193602568
2018-02-26,10902.262635298735
2018-02-27,10765.893052168853
2018-02-28,10760.722643919951
2018-03-01,10713.78460223294
2018-03-02,10779.926014967925
2018-03-05,10836.258622237212
2018-03-06,10780.65075785733
2018-03-07,10768.561672093398
2018-03-08,10787.856756428724
