,0
2018-02-28,10586.947081068522
2018-03-01,10500.960995653635
2018-03-02,10580.763589437967
2018-03-05,10684.890193239695
2018-03-06,10775.62701393748
2018-03-07,10809.041463152415
2018-03-08,10848.052967722422
2018-03-09,10933.015557940013
2018-03-12,10988.051413977153
2018-03-13,10932.724694693095
2018-03-14,10993.001604998119
2018-03-15,10964.235591375835
2018-03-16,10955.610547506816
2018-03-19,10872.2304963708
2018-03-20,10980.564279520519
2018-03-21,10943.014480078227
2018-03-22,10779.628352129466
2018-03-23,10566.390289747722
2018-03-26,10789.210118258006
2018-03-27,10518.931285822398
2018-03-28,10376.050726854808
2018-03-29,10514.30839528895
2018-04-02,10341.569351126202
2018-04-03,10401.065342356213
2018-04-04,10466.44292681361
2018-04-05,10466.145105768688
2018-04-06,10330.889852930553
2018-04-09,10331.65310037852
2018-04-10,10475.64071167613
2018-04-11,10463.80130041743
2018-04-12,10567.82965124751
2018-04-13,10542.556167971143
2018-04-16,10583.663248430737
2018-04-17,10745.277402292737
2018-04-18,10790.32366264964
2018-04-19,10713.09927339793
2018-04-20,10670.042635157115
2018-04-23,10634.326539709575
2018-04-24,10516.877147944459
2018-04-25,10529.796798975953
2018-04-26,10624.781990321168
2018-04-27,10577.702210459718
2018-04-30,10551.680699381837
2018-05-01,10565.26745704175
2018-05-02,10540.012092101106
2018-05-03,10561.391009795198
2018-05-04,10589.120211001406
2018-05-07,10667.39624464036
2018-05-08,10683.50736963273
2018-05-09,10778.668042297373
2018-05-10,10829.711313838969
2018-05-11,10814.12303363801
2018-05-14,10806.023203964243
2018-05-15,10760.486058826456
2018-05-16,10806.759936443339
2018-05-17,10787.916026226054
2018-05-18,10788.102853408824
2018-05-21,10828.358130088816
2018-05-22,10839.72372304536
2018-05-23,10924.600320926676
2018-05-24,10959.057956588756
2018-05-25,10966.74176443864
2018-05-29,10947.434453380596
2018-05-30,11007.070036281595
2018-05-31,10924.544700492868
2018-06-01,11139.64748350526
2018-06-04,11218.942396494876
2018-06-05,11251.129601336492
2018-06-06,11300.804031229985
2018-06-07,11222.915367938054
2018-06-08,11247.515715933812
2018-06-11,11275.747438288701
2018-06-12,11309.603486395848
2018-06-13,11337.846191264165
2018-06-14,11378.647101260198
2018-06-15,11353.648702479375
2018-06-18,11401.680516585362
2018-06-19,11332.067871203435
2018-06-20,11395.109248271001
2018-06-21,11295.9513488989
2018-06-22,11246.660109210026
2018-06-25,11093.399821448338
2018-06-26,11165.028150404942
2018-06-27,11083.069342985642
2018-06-28,11097.636285200608
2018-06-29,11062.799929037583
2018-07-02,11074.036934835922
2018-07-03,11086.475975973619
2018-07-05,11121.173790915025
2018-07-06,11237.654820425521
2018-07-09,11279.662259085191
2018-07-10,11305.440319998277
2018-07-11,11250.176228506578
2018-07-12,11270.262846930038
2018-07-13,11236.244812948715
2018-07-16,11253.809985144151
2018-07-17,11246.070330175888
2018-07-18,11222.555880102645
2018-07-19,11174.381784574998
2018-07-20,11120.06558457042
2018-07-23,11112.295023352159
2018-07-24,11073.997932531845
2018-07-25,11133.15488130809
2018-07-26,11137.022067984115
2018-07-27,11067.971732018006
2018-07-30,10985.287200218689
2018-07-31,10964.143843895446
2018-08-01,11000.122336632263
2018-08-02,11072.031893974792
2018-08-03,11066.522219902527
2018-08-06,11148.141419655334
2018-08-07,11192.585969215881
2018-08-08,11182.593119865905
2018-08-09,11169.660369164001
2018-08-10,11123.092755562317
2018-08-13,11139.671100330841
2018-08-14,11211.128362370026
2018-08-15,11119.190830998908
2018-08-16,11094.995078773034
2018-08-17,11106.527162284387
2018-08-20,11122.857144717706
2018-08-21,11161.028816585076
2018-08-22,11220.689451919092
2018-08-23,11286.643285326973
2018-08-24,11389.292697878851
2018-08-27,11427.690563174261
2018-08-28,11460.68083474256
2018-08-29,11536.606445284857
2018-08-30,11535.211652251257
2018-08-31,11565.502441855444
2018-09-04,11727.10478875257
2018-09-05,11680.238648863806
2018-09-06,11637.448117705359
2018-09-07,11621.449225398077
2018-09-10,11749.56086599828
2018-09-11,11788.098289608968
2018-09-12,11845.700529212965
2018-09-13,11787.098490921033
2018-09-14,11854.523659912122
2018-09-17,11766.357063694013
2018-09-18,11800.958886547101
2018-09-19,11767.053972644819
2018-09-20,11817.439262989057
2018-09-21,11814.062522617354
2018-09-24,11842.834108081832
2018-09-25,11917.313136783614
2018-09-26,11869.521589008345
2018-09-27,11915.216829029097
2018-09-28,11875.989688602462
2018-10-01,11898.0003773842
2018-10-02,11806.034770694747
2018-10-03,11793.291000095382
2018-10-04,11718.562387195601
2018-10-05,11661.785920833603
2018-10-08,11617.55654117967
2018-10-09,11600.782740783707
2018-10-10,11359.537733795181
2018-10-11,11162.384564163223
2018-10-12,11252.246025016799
2018-10-15,11211.234840137497
2018-10-16,11289.277444583908
2018-10-17,11276.630380374923
2018-10-18,11221.826156597152
2018-10-19,11240.53675301744
2018-10-22,11231.924265224472
2018-10-23,11253.155460674301
2018-10-24,11078.501112300888
2018-10-25,11068.379865106599
2018-10-26,11044.456527170198
2018-10-29,10997.53876319696
2018-10-30,11050.639961393372
2018-10-31,11092.99871078302
2018-11-01,11165.277027280823
2018-11-02,11209.086612852112
2018-11-05,11212.676433713928
2018-11-06,11253.355268842712
2018-11-07,11323.117398092285
2018-11-08,11338.126465627685
2018-11-09,11304.787927171721
2018-11-12,11181.439349672331
2018-11-13,11176.666940233245
2018-11-14,11124.069933248535
2018-11-15,11149.179947195069
2018-11-16,11147.686960515992
2018-11-19,11093.811649618165
2018-11-20,10964.781498250977
2018-11-21,10943.413649827973
2018-11-23,10888.11117026712
2018-11-26,10967.586588052765
2018-11-27,10961.888733057038
2018-11-28,11026.21978583719
2018-11-29,11001.563961175934
2018-11-30,11041.442651895539
2018-12-03,11087.691290048615
2018-12-04,10968.71025382425
2018-12-06,11007.936033830658
2018-12-07,10884.382061586395
2018-12-10,10924.565455772416
2018-12-11,10930.925538398758
2018-12-12,10956.56832251741
2018-12-13,10973.707420249953
2018-12-14,10894.357950386062
2018-12-17,10768.766344245925
2018-12-18,10772.074606117263
2018-12-19,10648.4843581772
2018-12-20,10588.482428154006
2018-12-21,10575.761675437941
2018-12-24,10474.457663139357
2018-12-26,10625.13171060945
2018-12-27,10634.457594474807
2018-12-28,10666.102346977248
2018-12-31,10679.585690399184
2019-01-02,10624.249546634688
2019-01-03,10522.047460529342
2019-01-04,10655.728044464126
2019-01-07,10817.109481765761
2019-01-08,10822.449275194183
2019-01-09,10821.030184923187
2019-01-10,10902.590943513886
2019-01-11,10928.118850191131
2019-01-14,10869.188412509931
2019-01-15,10993.112561069502
2019-01-16,11010.17075236894
2019-01-17,11086.24677165605
2019-01-18,10979.624749027265
2019-01-22,10880.071793399824
2019-01-23,10826.087719760908
2019-01-24,10860.655003391279
2019-01-25,11024.576748691572
2019-01-28,10976.648073993696
2019-01-29,10940.747138690964
2019-01-30,11069.128656101242
2019-01-31,11209.279380512253
2019-02-01,11234.71936719133
2019-02-04,11290.395926639572
2019-02-05,11389.02461214067
2019-02-06,11352.815715572371
2019-02-07,11223.021531841292
2019-02-08,11216.794013759627
2019-02-11,11235.050800106063
2019-02-12,11297.642905971541
2019-02-13,11303.67305543138
2019-02-14,11295.927139064803
2019-02-15,11327.675659884468
2019-02-19,11338.633383502021
2019-02-20,11350.502957571998
2019-02-21,11297.520803202644
2019-02-22,11372.519757021919
2019-02-25,11459.954366911903
2019-02-26,11472.75065683271
2019-02-27,11503.110014189735
2019-02-28,11437.596214522377
2019-03-01,11478.920414484994
2019-03-04,11455.989603079812
2019-03-05,11438.365846758858
2019-03-06,11333.690333052651
2019-03-07,11317.72757022001
2019-03-08,11326.954712553994
2019-03-11,11427.82146613218
2019-03-12,11399.733113451974
2019-03-13,11472.548337145821
2019-03-14,11444.49087445356
2019-03-15,11429.712273997322
2019-03-18,11469.517178935066
2019-03-19,11482.889905375496
2019-03-20,11547.593110484138
2019-03-21,11564.503873271004
2019-03-22,11423.469640177742
2019-03-25,11447.994664591804
2019-03-26,11478.068784159675
2019-03-27,11429.777863902107
2019-03-28,11425.948561907782
2019-03-29,11457.342753649726
2019-04-01,11540.24680504133
2019-04-02,11587.336368624703
2019-04-03,11570.30305868818
2019-04-04,11595.583591525094
2019-04-05,11604.843383852975
2019-04-08,11543.49033349897
2019-04-09,11487.733211459175
2019-04-10,11505.534511508004
2019-04-11,11488.65220784618
2019-04-12,11474.70721244289
2019-04-15,11452.547350401417
2019-04-16,11476.269793505207
2019-04-17,11462.401616091267
2019-04-18,11473.889616961018
2019-04-22,11518.178151125447
2019-04-23,11583.528375143544
2019-04-24,11555.183135027424
2019-04-25,11537.598652643695
2019-04-26,11569.888278765216
2019-04-29,11596.840046289937
2019-04-30,11635.355377939719
2019-05-01,11655.833434370536
2019-05-02,11678.861672060508
2019-05-03,11770.745982592123
2019-05-06,11704.128075079458
2019-05-07,11597.396556334035
2019-05-08,11595.292465166585
2019-05-09,11563.598304997462
2019-05-10,11579.333404789943
2019-05-13,11414.646605584163
2019-05-14,11474.281964516658
2019-05-15,11535.746413445491
2019-05-16,11560.255931115169
2019-05-17,11518.06746790411
2019-05-20,11445.44664038946
2019-05-21,11449.575893776911
2019-05-22,11463.289597466486
2019-05-23,11442.72706313421
2019-05-24,11461.366762640972
2019-05-28,11405.412853659647
2019-05-29,11339.652489127177
2019-05-30,11384.93123668577
2019-05-31,11356.207683676737
2019-06-03,11288.027516966838
2019-06-04,11399.74347460844
2019-06-05,11465.379991179485
2019-06-06,11502.526738768596
2019-06-07,11566.922124510784
2019-06-10,11576.296302065868
2019-06-11,11524.059727393169
2019-06-12,11517.331246100444
2019-06-13,11504.116459570903
2019-06-14,11486.537110053081
2019-06-17,11490.603578345317
2019-06-18,11542.887899176616
2019-06-19,11546.928894278544
2019-06-20,11600.677517172831
2019-06-21,11589.977476199168
2019-06-24,11598.235200961131
2019-06-25,11495.744989474315
2019-06-26,11529.67956741621
