,值
回測期間,2022-01-01 ~ 2023-12-31
初始資金,"$10,000"
最終資金,"$10,156"
總報酬率,1.56%
年化報酬率,0.78%
Sharpe Ratio,0.13
最大回撤,14.92%
總交易次數,236
勝率,49.58%
平均持有天數,30.5
