symbol,buy_date,buy_price,sell_date,sell_price,shares,return_pct,profit,holding_days,sell_reason
ALB,2017-10-16,125.2164535522461,2017-11-10,125.62740325927734,7,0.0032819145996638753,2.87664794921875,25,stop_loss_sideways
ARE,2017-10-16,93.06382751464844,2017-11-10,95.43000793457033,10,0.02542535035483521,23.661804199218892,25,stop_loss_sideways
AEE,2017-10-16,47.91658020019531,2017-11-10,49.370513916015625,20,0.03034301925859029,29.07867431640625,25,stop_loss_sideways
AME,2017-10-16,64.12921905517578,2017-11-10,64.56450653076172,15,0.006787662192041087,6.5293121337890625,25,stop_loss_sideways
ADP,2017-10-16,96.2264175415039,2017-11-10,93.29546356201172,10,-0.030458932737759077,-29.309539794921875,25,stop_loss_sideways
AVY,2017-10-16,88.32630157470703,2017-11-10,90.92821502685548,11,0.02945796898274671,28.62104797363297,25,stop_loss_sideways
BRK-B,2017-10-16,187.9600067138672,2017-11-10,183.67999267578125,5,-0.02277087617155405,-21.400070190429688,25,stop_loss_sideways
TECH,2017-10-16,29.34770965576172,2017-11-10,29.830188751220703,34,0.016440093660401237,16.40428924560547,25,stop_loss_sideways
APH,2017-11-10,20.393878936767575,2017-12-08,20.65513038635254,39,0.012810287360976792,10.188806533813615,28,stop_loss_sideways
AVB,2017-11-10,142.5547332763672,2017-12-08,138.79208374023438,5,-0.026394420231829557,-18.813247680664062,28,stop_loss_sideways
CBRE,2017-11-10,41.52999877929688,2017-12-08,43.619998931884766,19,0.050325071370571996,39.71000289916979,28,stop_loss_sideways
CLX,2017-11-10,104.51515197753906,2017-12-08,114.94690704345705,7,0.09981093524276585,73.02228546142588,28,stop_loss_sideways
CAG,2017-11-10,25.621000289916992,2017-12-08,27.424781799316406,31,0.07040246239368268,55.917226791381836,28,stop_loss_sideways
AMZN,2017-10-16,50.31700134277344,2017-12-18,59.52899932861328,19,0.18307923246628205,175.02796173095703,63,agent
ALGN,2017-10-16,193.3699951171875,2017-12-19,235.0500030517578,5,0.21554537408614552,208.40003967285156,64,agent
XYZ,2017-11-10,39.209999084472656,2017-12-22,35.13999938964844,20,-0.10380004564794693,-81.39999389648438,42,stop_loss_dip
ACN,2017-12-08,133.76644897460938,2018-01-08,141.23094177246094,4,0.055802429197088284,29.85797119140625,31,stop_loss_sideways
AMP,2017-12-08,145.36343383789062,2018-01-08,147.1947784423828,4,0.012598385688484107,7.32537841796875,31,stop_loss_sideways
BBY,2017-12-08,47.548805236816406,2018-01-08,51.94663238525391,12,0.09249080237735034,52.773925781250085,31,stop_loss_sideways
BA,2017-12-08,272.460693359375,2018-01-08,295.5707702636719,2,0.08481985646940544,46.22015380859375,31,stop_loss_sideways
CPRT,2017-12-08,10.989999771118164,2018-01-08,10.887499809265137,53,-0.009326657323724277,-5.432497978210449,31,stop_loss_sideways
BF-B,2017-11-10,39.33169174194336,2018-01-12,45.49894714355469,20,0.1568011730101749,123.34510803222656,63,agent
AFL,2017-12-18,36.6031608581543,2018-01-17,36.40830993652344,11,-0.005323335937733676,-2.143360137939453,30,stop_loss_sideways
ABT,2017-12-19,49.351348876953125,2018-01-18,51.56910705566406,10,0.04493814716676612,22.177581787109375,30,stop_loss_sideways
ALB,2018-01-08,123.0981674194336,2018-01-18,105.5984115600586,6,-0.14216097791080765,-104.99853515625,10,stop_loss_dip
BAC,2017-12-22,24.760202407836918,2018-01-23,26.450668334960938,20,0.06827351001738848,33.8093185424804,32,stop_loss_sideways
BLDR,2017-11-10,18.459999084472656,2018-01-29,21.739999771118164,43,0.17768151946466942,141.04002952575684,80,agent
AOS,2018-01-08,54.85456085205078,2018-02-05,53.49925994873047,13,-0.024707168962225745,-17.618911743164062,28,stop_loss_sideways
ACN,2018-01-08,141.23094177246094,2018-02-05,134.921630859375,5,-0.04467371550386567,-31.546554565429688,28,stop_loss_sideways
A,2018-01-08,66.09314727783203,2018-02-05,64.36648559570312,11,-0.0261246703061459,-18.99327850341797,28,stop_loss_sideways
AMD,2018-01-29,13.31999969482422,2018-02-05,11.56999969482422,41,-0.1313813843914727,-71.75,7,stop_loss_dip
ALGN,2018-01-08,248.8999938964844,2018-02-08,220.7100067138672,3,-0.11325828796259921,-84.56996154785165,31,stop_loss_dip
AES,2018-01-18,8.620752334594727,2018-02-08,7.606840133666992,64,-0.11761296016577882,-64.890380859375,21,stop_loss_dip
MMM,2018-01-12,154.4667510986328,2018-02-09,142.29736328125,3,-0.07878321859448058,-36.50816345214844,28,stop_loss_sideways
AIG,2018-01-17,49.90994644165039,2018-02-13,48.292877197265625,9,-0.032399739123648984,-14.55362319946289,27,stop_loss_sideways
ANET,2018-02-14,18.88249969482422,2018-02-16,15.593125343322754,28,-0.17420227219191206,-92.10248184204102,2,stop_loss_dip
ADBE,2018-01-23,200.08999633789065,2018-02-20,202.97999572753903,2,0.014443497638772795,5.779998779296761,28,stop_loss_sideways
NCLH,2018-02-05,56.95000076293945,2018-03-05,55.58000183105469,13,-0.02405617056244713,-17.809986114501953,28,stop_loss_sideways
EG,2018-02-06,205.5680389404297,2018-03-06,217.18035888671875,2,0.05648893673424654,23.224639892578125,28,stop_loss_sideways
OMC,2018-02-08,57.65168380737305,2018-03-08,56.28464889526367,10,-0.023711968529435138,-13.67034912109375,28,stop_loss_sideways
ADM,2018-02-16,34.30998611450195,2018-03-16,34.60432434082031,15,0.008578791764475537,4.415073394775391,28,stop_loss_sideways
ATO,2018-02-20,67.76953887939453,2018-03-19,67.87108612060547,7,0.001498420129309942,0.7108306884765625,27,stop_loss_sideways
ABBV,2018-01-18,74.26624298095703,2018-03-27,65.82444763183594,7,-0.11366934707180079,-59.092567443847656,68,stop_loss_dip
ARE,2018-03-05,94.83704376220705,2018-04-02,93.09590911865234,5,-0.018359225198124017,-8.705673217773509,28,stop_loss_sideways
AKAM,2018-03-06,69.94000244140625,2018-04-03,70.12000274658203,7,0.0025736388174504342,1.2600021362304688,28,stop_loss_sideways
ABT,2018-03-08,54.0135498046875,2018-04-05,52.25880432128906,10,-0.03248713498267714,-17.547454833984375,28,stop_loss_sideways
BMY,2018-02-05,46.126991271972656,2018-04-10,46.612213134765625,16,0.010519261053295616,7.7635498046875,64,stop_loss_sideways
ADBE,2018-03-16,225.5500030517578,2018-04-13,224.05999755859372,2,-0.006606098306379423,-2.980010986328182,28,stop_loss_sideways
LNT,2018-03-19,31.22488784790039,2018-04-16,32.60465240478516,17,0.044187974784913445,23.455997467041136,28,stop_loss_sideways
FTNT,2018-02-06,9.30799961090088,2018-04-17,11.534000396728516,65,0.23914921345943094,144.69005107879627,70,agent
TKO,2018-02-08,30.770057678222656,2018-04-17,35.53971862792969,20,0.15500981504765698,95.39321899414062,68,agent
MTCH,2018-02-12,35.326717376708984,2018-04-20,43.435394287109375,15,0.22953383480080905,121.63015365600586,67,agent
AEP,2018-03-27,52.03251647949219,2018-04-24,52.37468338012695,10,0.0065760206076065034,3.4216690063476562,28,stop_loss_sideways
AES,2018-04-02,8.597390174865723,2018-04-27,9.308167457580566,61,0.08267361004421844,43.35741424560547,25,stop_loss_sideways
AXON,2018-04-03,42.400001525878906,2018-04-30,41.97999954223633,12,-0.009905706804897855,-5.0400238037109375,27,stop_loss_sideways
AIZ,2018-04-05,79.29798889160156,2018-05-02,77.43216705322266,6,-0.023529245375055345,-11.194931030273438,27,stop_loss_sideways
APA,2018-04-10,32.10252380371094,2018-05-07,32.45084381103516,17,0.010850237490796949,5.9214401245118395,27,stop_loss_sideways
ADM,2018-04-13,35.956668853759766,2018-05-10,34.92252349853516,15,-0.028760877695055673,-15.512180328369034,27,stop_loss_sideways
LNT,2018-04-16,32.60465240478516,2018-05-11,32.91680145263672,16,0.009573757878975069,4.994384765624886,25,stop_loss_sideways
ADBE,2018-04-17,231.16000366210935,2018-05-14,238.3699951171875,2,0.031190479931022693,14.419982910156307,27,stop_loss_sideways
APD,2018-04-17,140.3928680419922,2018-05-14,139.2406005859375,4,-0.00820745008008554,-4.60906982421875,27,stop_loss_sideways
AFL,2018-04-20,37.763301849365234,2018-05-17,37.9718017578125,15,0.005521230883860605,3.1274986267089844,27,stop_loss_sideways
AWK,2018-04-24,73.16539764404297,2018-05-21,69.88786315917969,8,-0.04479623688794554,-26.22027587890625,27,stop_loss_sideways
AES,2018-04-27,9.308167457580566,2018-05-24,9.46865463256836,63,0.017241543592674873,10.110692024230957,27,stop_loss_sideways
ALB,2018-05-17,94.1631851196289,2018-05-29,83.58779907226562,5,-0.11230913688749868,-52.876930236816406,12,stop_loss_dip
APTV,2018-05-02,88.6459732055664,2018-05-30,95.21153259277344,6,0.07406494790216546,39.39335632324219,28,stop_loss_sideways
ABT,2018-05-10,53.12438583374024,2018-06-07,55.42269515991211,10,0.04326279335002064,22.98309326171868,28,stop_loss_sideways
ACN,2018-05-14,139.46510314941406,2018-06-11,145.90179443359375,4,0.0461527015635146,25.74676513671875,28,stop_loss_sideways
