symbol,buy_date,buy_price,sell_date,sell_price,shares,return_pct,profit,holding_days,sell_reason
ALB,2017-10-16,125.2164535522461,2017-11-10,125.62740325927734,7,0.0032819145996638753,2.87664794921875,25,stop_loss_sideways
AXP,2017-10-16,82.50588989257812,2017-11-10,83.90550994873047,12,0.01696388049355792,16.795440673828125,25,stop_loss_sideways
AIG,2017-10-16,51.71307373046875,2017-11-10,50.16118621826172,19,-0.03000957785444258,-29.485862731933594,25,stop_loss_sideways
AON,2017-10-16,139.52847290039062,2017-11-10,133.6294708251953,7,-0.042278123974069506,-41.29301452636719,25,stop_loss_sideways
AMAT,2017-10-16,50.17544937133789,2017-11-10,51.37877655029297,19,0.023982389675267442,22.863216400146484,25,stop_loss_sideways
ADSK,2017-10-16,119.1999969482422,2017-11-10,123.11000061035156,8,0.03280204498501055,31.280029296874886,25,stop_loss_sideways
BAC,2017-10-16,21.651634216308597,2017-11-10,21.87442970275879,46,0.010290007868430373,10.248592376708821,25,stop_loss_sideways
BRK-B,2017-10-16,187.9600067138672,2017-11-10,183.67999267578125,5,-0.02277087617155405,-21.400070190429688,25,stop_loss_sideways
APH,2017-11-10,20.393878936767575,2017-12-08,20.65513038635254,39,0.012810287360976792,10.188806533813615,28,stop_loss_sideways
AVB,2017-11-10,142.5547332763672,2017-12-08,138.79208374023438,5,-0.026394420231829557,-18.813247680664062,28,stop_loss_sideways
CBRE,2017-11-10,41.52999877929688,2017-12-08,43.619998931884766,19,0.050325071370571996,39.71000289916979,28,stop_loss_sideways
CMCSA,2017-11-10,30.08042335510254,2017-12-08,30.978347778320312,26,0.029850790749108874,23.34603500366211,28,stop_loss_sideways
ALGN,2017-10-16,193.3699951171875,2017-12-20,233.6499938964844,5,0.20830532035172325,201.39999389648452,65,agent
AMZN,2017-10-16,50.31700134277344,2017-12-21,58.73799896240234,19,0.16735889251950284,159.99895477294908,66,agent
XYZ,2017-11-10,39.209999084472656,2017-12-22,35.13999938964844,20,-0.10380004564794693,-81.39999389648438,42,stop_loss_dip
ANET,2017-11-10,13.815625190734863,2017-12-27,14.96875,58,0.08346526439052891,66.88123893737793,47,stop_loss_sideways
AMP,2017-12-08,145.36343383789062,2018-01-08,147.1947784423828,3,0.012598385688484107,5.4940338134765625,31,stop_loss_sideways
BBY,2017-12-08,47.548805236816406,2018-01-08,51.94663238525391,10,0.09249080237735034,43.97827148437507,31,stop_loss_sideways
BLK,2017-12-08,422.0014953613281,2018-01-08,433.4624938964844,1,0.027158668064299295,11.46099853515625,31,stop_loss_sideways
COST,2017-11-10,153.07850646972656,2018-01-16,171.6043701171875,5,0.12102197803402719,92.62931823730469,67,agent
ALB,2018-01-08,123.0981674194336,2018-01-18,105.5984115600586,5,-0.14216097791080765,-87.498779296875,10,stop_loss_dip
ABT,2017-12-20,49.5425033569336,2018-01-19,51.77863693237305,8,0.045135659765293094,17.889068603515568,30,stop_loss_sideways
ACN,2017-12-21,137.02777099609375,2018-01-22,143.45257568359375,3,0.0468868802345413,19.2744140625,32,stop_loss_sideways
APO,2017-12-22,25.56049346923828,2018-01-23,26.597654342651367,20,0.0405767155732457,20.74321746826172,32,stop_loss_sideways
BF-B,2017-11-10,39.33169174194336,2018-01-26,47.93061065673828,20,0.21862570700525005,171.97837829589844,77,agent
AFL,2018-01-08,37.295509338378906,2018-02-05,35.740840911865234,17,-0.04168513727506174,-26.429363250732422,28,stop_loss_sideways
AKAM,2017-12-08,56.5,2018-02-08,62.4900016784668,8,0.10601772882242118,47.920013427734375,62,agent
