,0
2017-10-16,9990.445906993868
2017-10-17,9990.407157299043
2017-10-18,9976.832209941866
2017-10-19,10034.076388713838
2017-10-20,10081.871886608125
2017-10-23,10069.117297527315
2017-10-24,10094.229781505586
2017-10-25,10067.775721904756
2017-10-26,10135.624369976045
2017-10-27,10412.47023331833
2017-10-30,10355.921527263643
2017-10-31,10391.801436779024
2017-11-01,10361.152011272432
2017-11-02,10371.700023052217
2017-11-03,10378.284572002412
2017-11-06,10428.835795757295
2017-11-07,10441.17987382126
2017-11-08,10485.639594432832
2017-11-09,10451.08166062546
2017-11-10,10440.290306779865
2017-11-13,10489.279579851154
2017-11-14,10509.714739534382
2017-11-15,10464.53460762215
2017-11-16,10593.91292831612
2017-11-17,10649.025801393513
2017-11-20,10708.645756456379
2017-11-21,10796.006136629107
2017-11-22,10814.512026521686
2017-11-24,10833.851359102253
2017-11-27,10710.30265876961
2017-11-28,10825.675966951374
2017-11-29,10713.176365587238
2017-11-30,10785.98819229317
2017-12-01,10701.984158250812
2017-12-04,10520.692509386066
2017-12-05,10486.313717576984
2017-12-06,10504.203518602375
2017-12-07,10595.72975227547
2017-12-08,10592.69580784035
2017-12-11,10579.86076107216
2017-12-12,10546.092706110003
2017-12-13,10534.856194879534
2017-12-14,10521.03265133095
2017-12-15,10608.62260570717
2017-12-18,10686.445479028702
2017-12-19,10634.463154428482
2017-12-20,10612.616592996597
2017-12-21,10641.781973474503
2017-12-22,10630.81920216942
2017-12-26,10655.892534002305
2017-12-27,10685.845980169297
2017-12-28,10696.313105108262
2017-12-29,10658.450304510117
2018-01-02,10747.143679143906
2018-01-03,10802.864088537217
2018-01-04,10793.247644903184
2018-01-05,10854.589033605576
2018-01-08,10859.36719093895
2018-01-09,10863.940150838853
2018-01-10,10812.40581202507
2018-01-11,10889.095341321947
2018-01-12,10891.141823408128
2018-01-16,10873.039585706712
2018-01-17,10936.461278463365
2018-01-18,10887.300042429924
2018-01-19,10920.362551012993
2018-01-22,10960.265266695977
2018-01-23,10964.21889216137
2018-01-24,10951.928498332025
2018-01-25,10976.406293948174
2018-01-26,11135.356699374199
2018-01-29,11088.141528513908
2018-01-30,10987.294258502008
2018-01-31,11005.715882685663
2018-02-01,10986.704352763176
2018-02-02,10852.02253189373
2018-02-05,10586.659239516259
2018-02-06,10657.344965048793
2018-02-07,10681.13900500393
2018-02-08,10455.935044357302
2018-02-09,10558.33583934021
2018-02-12,10632.04572016907
2018-02-13,10657.722848007204
2018-02-14,10719.154330322268
2018-02-15,10813.861081192019
2018-02-16,10768.316330269816
2018-02-20,10725.23884232426
2018-02-21,10672.103493050578
2018-02-22,10644.392166451456
2018-02-23,10759.259888009074
2018-02-26,10805.356720284464
2018-02-27,10724.754387215617
2018-02-28,10697.248527840617
2018-03-01,10645.08517105961
2018-03-02,10716.596977547648
2018-03-05,10796.936817917825
2018-03-06,10739.94429253483
2018-03-07,10743.727557267192
2018-03-08,10803.326952763558
2018-03-09,10876.228602238658
2018-03-12,10878.982847996715
2018-03-13,10842.679930516244
2018-03-14,10836.90804941273
2018-03-15,10804.674933262828
2018-03-16,10795.473066426279
2018-03-19,10727.249384022714
2018-03-20,10784.818124867441
2018-03-21,10765.929121113779
2018-03-22,10570.211404896738
2018-03-23,10445.423372365
2018-03-26,10600.372812367441
2018-03-27,10454.230446682932
2018-03-28,10411.587403164865
2018-03-29,10492.171608792307
2018-04-02,10359.142858036044
2018-04-03,10416.902327167514
2018-04-04,10463.50755115891
2018-04-05,10499.947970180514
2018-04-06,10450.829202442172
2018-04-09,10429.457714824679
2018-04-10,10492.129374090198
2018-04-11,10496.013672414783
2018-04-12,10483.194680753712
2018-04-13,10518.1311301899
2018-04-16,10577.615235300069
2018-04-17,10619.870592088704
2018-04-18,10641.03793904305
2018-04-19,10623.686294527059
2018-04-20,10603.263609857564
2018-04-23,10631.123899431233
2018-04-24,10606.428594278339
2018-04-25,10631.584593461996
2018-04-26,10687.478311227802
2018-04-27,10704.441917679791
2018-04-30,10673.742545144087
2018-05-01,10710.510561013227
2018-05-02,10685.939638161664
2018-05-03,10625.99172403813
2018-05-04,10666.159153008466
2018-05-07,10689.030956292157
2018-05-08,10682.539514565473
2018-05-09,10754.066091561323
2018-05-10,10785.21500597096
2018-05-11,10785.01005373097
2018-05-14,10805.181186772352
2018-05-15,10791.137693501478
2018-05-16,10827.744615651136
2018-05-17,10867.082796193128
2018-05-18,10875.492853261
2018-05-21,10916.500486348159
2018-05-22,10875.544853184707
2018-05-23,10888.938959095962
2018-05-24,10892.84669536305
2018-05-25,10846.374098101622
2018-05-29,10812.353551577573
2018-05-30,10932.600252818112
2018-05-31,10894.517454813962
2018-06-01,10949.759589861875
2018-06-04,10976.652261446958
2018-06-05,10999.28134698773
2018-06-06,11067.136513285643
2018-06-07,10999.800992587096
2018-06-08,11050.631804087645
2018-06-11,11059.221938708311
2018-06-12,11100.554946520811
2018-06-13,11137.519204714781
2018-06-14,11143.97236023236
2018-06-15,11110.724325755125
2018-06-18,11170.734098082548
2018-06-19,11111.562162047392
2018-06-20,11102.431143639571
2018-06-21,11005.76321976567
2018-06-22,10997.844044344909
2018-06-25,10894.113281752594
2018-06-26,10903.931831862457
2018-06-27,10813.131652987486
2018-06-28,10849.18460146237
2018-06-29,10836.929501212126
2018-07-02,10836.945782340057
2018-07-03,10787.110887553223
2018-07-05,10843.975636603362
2018-07-06,10884.682307841307
2018-07-09,10839.771052958495
2018-07-10,10870.190501811034
2018-07-11,10898.850749613768
2018-07-12,10961.164015891081
2018-07-13,10967.392403151518
2018-07-16,10935.170413252836
2018-07-17,10939.349398848539
2018-07-18,10946.796687033659
2018-07-19,10944.935096163756
2018-07-20,10915.401784823423
2018-07-23,10896.033737841613
2018-07-24,10923.09381169415
2018-07-25,10989.858921109684
2018-07-26,10998.006301938542
2018-07-27,10946.562557279118
2018-07-30,10867.105903684147
2018-07-31,10914.452968869693
2018-08-01,10888.865156329639
2018-08-02,10920.935796893604
2018-08-03,10939.967056430347
2018-08-06,10975.09764686919
2018-08-07,10985.150560534961
2018-08-08,11007.281158603198
2018-08-09,10986.746007548816
2018-08-10,10924.140452556141
2018-08-13,10906.362221889027
2018-08-14,10971.846984069354
2018-08-15,10915.876465384968
2018-08-16,10946.40187336684
