,值
回測期間,2017-10-16 ~ 2023-10-15
初始資金,"$10,000"
最終資金,"$15,155"
總報酬率,51.55%
年化報酬率,7.18%
Sharpe Ratio,0.70
最大回撤,19.33%
總交易次數,705
勝率,53.48%
平均持有天數,30.8
