,值
回測期間,2017-10-16 ~ 2023-10-15
初始資金,"$10,000"
最終資金,"$15,361"
總報酬率,53.61%
年化報酬率,7.42%
Sharpe Ratio,0.72
最大回撤,14.67%
總交易次數,703
勝率,54.48%
平均持有天數,30.9
